>EML4,chr2:42396490-42559688
1,87856154,87856392
2,87869650,87869723
3,87967847,87969201

>ETV6,chr12:11802788-12048336
1,11802788,11803094
2,11905384,11905513
3,11992074,11992238
4,12006361,12006495
5,12022358,12022903
6,12037379,12037521
7,12038860,12038960
8,12043875,12048336

>RUNX1,chr21:36160098-37376965
1,36259140,36260987
2,36252854,36253010
3,36231771,36231875
4,36206707,36206898
5,36171598,36171759
6,36160098,36164907

>EWSR1,chr22:29663998-29696515
1,29663998,29664338
2,29668205,29668241
3,29668375,29668420
4,29669730,29669853
5,29674019,29674030

>FLI1,chr11:128556430-128683162
1,128556430,128556596
2,128628010,128628221
3,128651853,128651918
4,128675261,128675326
5,128677075,128677134
6,128679052,128679099
7,128680354,128682311

>STIL,chr1:47715811-47779819
1,47779708,47779819
2,47778620,47778828
3,47775948,47776034
4,47770561,47770668
5,47767906,47768018
6,47767233,47767420
7,47765577,47765824
8,47761437,47761520
9,47759130,47759216
10,47755107,47755257
11,47753223,47753332
12,47748017,47748131
13,47745913,47746881
14,47737748,47737913
15,47735307,47735538
16,47728575,47728785
17,47725961,47726211
18,47715811,47717594

>TAL1,chr1:47681962-47697892
1,47697329,47697387
2,47694868,47695023
3,47691115,47691561
4,47689676,47689770
5,47681962,47685846

>CD74_ENST00000009530,chr5:149781200-149792492
1,149792188,149792314
2,149786715,149786887
3,149786444,149786523
4,149785822,149785884
5,149784648,149784743
6,149784243,149784330
7,149782684,149782875
8,149782126,149782188
9,149781715,149781813

>ROS1,chr6:117609463-117747018
1,117746697,117747018
2,117739625,117739669
3,117737421,117737480
4,117730745,117730805
5,117725443,117725591
6,117724302,117724440
7,117718078,117718279
8,117717351,117717427
9,117715779,117715901
10,117715325,117715509
11,117714387,117714484
12,117710513,117711009
13,117708943,117709197
14,117708052,117708162
15,117706846,117707024
16,117704480,117704671
17,117700222,117700322
18,117687239,117687453
19,117686744,117686904
20,117686223,117686367
21,117683766,117684028
22,117681505,117681568
23,117680972,117681174
24,117678967,117679172
25,117677792,117678078
26,117674153,117674332
27,117665223,117665425
28,117663563,117663707
29,117662563,117662795
30,117662298,117662474
31,117658335,117658503
32,117650492,117650609
33,117647387,117647577
34,117645495,117645578
35,117642422,117642557
36,117641031,117641193
37,117639351,117639415
38,117638306,117638435
39,117632183,117632280
40,117631244,117631444
41,117629957,117630091
42,117622137,117622300
43,117609463,117609965

>PAX8,chr2:113973574-114036527
1,114036408,114036488
2,114035947,114036046
3,114004331,114004496
4,114002004,114002201
5,114000267,114000355
6,113999585,113999707
7,113999128,113999303
8,113984732,113984833
9,113977669,113977755
10,113973574,113976186

>PPARG,chr3:12328867-12475855
1,12328867,12329174
2,12353879,12353952
3,12421203,12421430
4,12422821,12422990
5,12434113,12434251
6,12447381,12447580
7,12458203,12458653
8,12475397,12475843

>KIAA1549,chr7:138516126-138666064
1,138665829,138666064
2,138601494,138604184
3,138597118,138597206
4,138595892,138596069
5,138593737,138593867
6,138591665,138591848
7,138589768,138589827
8,138588334,138588482
9,138583701,138583878
10,138579088,138579272
11,138566134,138566330
12,138564284,138564399
13,138555903,138556108
14,138554284,138554507
15,138552721,138552874
16,138545885,138546202
17,138536969,138537015
18,138529062,138529219
19,138524878,138525023
20,138516126,138522857

>BRAF,chr7:140419127-140624564
1,140482821,140482957
2,140481376,140481493
3,140477791,140477875
4,140476712,140476888
5,140453987,140454033
6,140453075,140453193
7,140449087,140449218
8,140439612,140439746
9,140434417,140434570
10,140419127,140426316

>SLC34A2,chr4:25656923-25680370
1,25656923,25656979
2,25664120,25664234
3,25664330,25664464
4,25665824,25665952
5,25667750,25667862

>NPM1,chr5:170814120-170838141
1,170814120,170814238
2,170814937,170815010
3,170817055,170817134
4,170818309,170818428
5,170818710,170818803
6,170819714,170819820
7,170819918,170819982
8,170827157,170827214
9,170827843,170827929
10,170832306,170832407
11,170834704,170834778
12,170837531,170837887

>SS18,chr18:23596578-23671181
1,23670465,23670589
2,23667465,23667541
3,23658040,23658124
4,23637553,23637706
5,23632588,23632809
6,23619253,23619420
7,23618519,23618623
8,23615795,23615887
9,23614969,23615091
10,23612363,23612496
11,23596578,23598344

>SSX2,chrX:52725946-52736239
1,52736162,52736211
2,52734731,52734819
3,52734178,52734292
4,52733547,52733642
5,52731631,52731680
6,52729493,52729628
7,52727836,52727981
8,52727034,52727138
9,52725946,52726568

>SSX1,chrX:48114752-48126879
1,48114752,48114867
2,48116657,48116745
3,48117181,48117295
4,48117971,48118066
5,48121201,48121250
6,48123217,48123352
7,48125722,48125826
8,48126289,48126879

>PAX3,chr2:223064607-223163715
1,223163250,223163700
2,223161697,223161932
3,223160247,223160376
4,223158886,223159020
5,223096797,223097002
6,223085941,223086106
7,223084859,223085073
8,223066663,223066909
9,223066131,223066161
10,223064607,223065959

>FOXO1,chr13:41129804-41240734
1,41239720,41240734
2,41133646,41134997
3,41129804,41133171

>PRKAR1A,chr17:66507921-66547460
1,66507921,66508283
2,66511128,66511260
3,66511535,66511717
4,66518897,66519067
5,66519866,66519957
6,66520157,66520218
7,66521053,66521099
8,66521895,66521959

>EZR,chr6:159186773-159240444
1,159239114,159239259
2,159210320,159210403
3,159208140,159208235
4,159206341,159206615
5,159205676,159205759
6,159204552,159204698
7,159197440,159197536
8,159192276,159192439
9,159191796,159191926
10,159190816,159190976
11,159190358,159190450
12,159188293,159188544
13,159186773,159188110

>ETV1,chr7:13930853-14031050
1,14029188,14029571
2,14028893,14029089
3,14028633,14028764
4,14027711,14027798
5,14026263,14026310
6,14017052,14017105
7,13978742,13978871
8,13975333,13975521
9,13971127,13971374
10,13950864,13950932
11,13949257,13949325
12,13946055,13946224
13,13940363,13940464
14,13930853,13935712

>NTRK3,chr15:88418230-88799999
1,88799875,88799978
2,88799515,88799717
3,88799137,88799399
4,88727456,88727530
5,88726649,88726720
6,88690566,88690634
7,88680635,88680792
8,88679698,88679840
9,88679130,88679271
10,88678332,88678628
11,88671942,88671965
12,88670393,88670457
13,88669502,88669604
14,88576088,88576276
15,88483854,88483984
16,88476243,88476415
17,88472422,88472665
18,88423501,88423659
19,88418230,88420351

>PAX7,chr1:18957500-19075360
1,18957500,18958182
2,18960797,18961032
3,18961605,18961734
4,18962731,18962865
5,19018248,19018447
6,19027147,19027312
7,19029588,19029790
8,19062126,19062632

>NRG1,chr8:31496902-32622548
1,31496902,31496947
2,32453346,32453523
3,32463080,32463201
4,32472032,32472082
5,32585467,32585596
6,32600193,32600251
7,32607079,32607102
8,32611890,32611992
9,32613921,32614047
10,32616824,32616954
11,32617718,32617924
12,32621266,32621540

>NUP214,chr9:134000948-134110057
1,134000948,134001136
2,134002911,134003106
3,134003719,134003870
4,134004666,134004864
5,134006153,134006223
6,134007983,134008046
7,134008493,134008596
8,134010285,134010391
9,134011327,134011393
10,134014668,134014794
11,134015936,134016097
12,134019667,134020141
13,134021516,134021691
14,134022877,134022971
15,134025711,134025797
16,134026003,134026152
17,134027123,134027281
18,134034770,134034873
19,134038378,134038560
20,134039257,134039342
21,134039448,134039531
22,134049442,134049705
23,134050847,134051008
24,134053698,134053797
25,134062676,134062751
26,134064440,134064518
27,134067595,134067679
28,134070620,134070681
29,134072603,134074402
30,134077034,134077104
31,134090599,134090755
32,134098165,134098317
33,134103547,134103718
34,134106017,134106156
35,134107671,134107695
36,134108841,134110057

>YWHAE_ENST00000264335,chr17:1247566-1303672
1,1303341,1303672
2,1268153,1268352
3,1265196,1265302
4,1264386,1264592
5,1257505,1257641
6,1247566,1248793

>NUTM2B,chr10:81462983-81474437
1,81462983,81463747
2,81465798,81466497
3,81468455,81468583
4,81469556,81469695
5,81470138,81470520
6,81471006,81471122
7,81472650,81472688

>SDC4,chr20:43953928-43977064
1,43976965,43977064
2,43964422,43964560
3,43961663,43961709
4,43959006,43959204
5,43953928,43956055

>LRIG3,chr12:59265931-59314303
1,59313208,59313327
2,59308046,59308117
3,59307763,59307837
4,59284447,59284578
5,59283778,59283921
6,59282601,59282744
7,59282111,59282254
8,59281571,59281714
9,59280592,59280672
10,59279613,59279684
11,59277302,59277373
12,59276651,59276814
13,59274363,59274683
14,59272606,59272887
15,59271182,59271634
16,59270227,59270385
17,59268212,59268355
18,59267837,59268112
19,59265931,59266598

>MLLT1,chr19:6212966-6279959
1,6279784,6279959
2,6270590,6270770
3,6262239,6262321
4,6230581,6230724
5,6226988,6227113
6,6222132,6222695
7,6217965,6218052
8,6216416,6216524
9,6213950,6214049
10,6213737,6213808
11,6213348,6213419
12,6212966,6213181

>CRTC1,chr19:18794487-18893004
1,18794487,18794638
2,18853720,18853836
3,18856633,18856770
4,18857863,18857924
5,18860591,18860685
6,18864310,18864395
7,18870361,18870401
8,18870818,18871038
9,18876214,18876338
10,18879295,18879603
11,18882252,18882356
12,18885710,18885796
13,18886451,18886631
14,18887981,18888762

>MAML2,chr11:95709762-96076344
1,96074547,96076344
2,95825056,95826681
3,95724684,95724887
4,95718695,95718806
5,95709762,95713127

>TPM3,chr1:154127784-154167124
1,154155464,154155648
2,154148591,154148724
3,154145560,154145677
4,154145384,154145454
5,154144505,154144580
6,154143125,154143187
7,154142876,154142945
8,154127784,154130197

>NTRK1_ENST00000392302,chr1:156785432-156851642
1,156785448,156785630
2,156811873,156811985
3,156834146,156834220
4,156834520,156834591
5,156836702,156836770
6,156837896,156838041
7,156838297,156838439
8,156841415,156841547
9,156843425,156843751
10,156844363,156844418
11,156844698,156844800
12,156845312,156845458
13,156845872,156846002
14,156846192,156846364
15,156848914,156849154
16,156849791,156849949
17,156851249,156851586

>FUS,chr16:31191431-31203127
1,31191431,31191548
2,31193719,31193743
3,31193834,31193985
4,31195179,31195323
5,31195530,31195717
6,31196260,31196500
7,31198123,31198157
8,31199646,31199678
9,31200444,31200547
10,31200986,31201115
11,31201361,31201462
12,31201596,31201719
13,31202063,31202163
14,31202284,31202431
15,31202720,31203127

>DDIT3,chr12:57910371-57914300
1,57914201,57914275
2,57911489,57911536
3,57911052,57911207
4,57910371,57910963

>PML,chr15:74287014-74340153
1,74287014,74287282
2,74290345,74290817
3,74315169,74315749
4,74317198,74317268
5,74324913,74325056
6,74325497,74325755
7,74326819,74326871
8,74335330,74335678

>RARA,chr17:38465444-38513094
1,38465444,38465538
2,38482727,38482803
3,38487109,38487648
4,38504568,38504588

>STRN,chr2:37070783-37193615
1,37193373,37193615
2,37152248,37152351
3,37143221,37143294
4,37132683,37132761
5,37129727,37129894
6,37126666,37126801
7,37121041,37121176
8,37113859,37113969
9,37111075,37111218
10,37105034,37105170
11,37096697,37096872
12,37094957,37095004
13,37088275,37088396
14,37084999,37085166
15,37082355,37082495
16,37078143,37078250
17,37076857,37076943
18,37070783,37076768

>CBFA2T3,chr16:88941266-89043612
1,89007428,89007606
2,88967912,88968064
3,88958652,88958893
4,88958290,88958379
5,88952369,88952550
6,88951454,88951677
7,88949084,88949169
8,88947699,88947897
9,88947128,88947196
10,88945678,88945868
11,88941266,88943683

>GLIS2,chr16:4364762-4389598
1,4364762,4365456
2,4379111,4379170
3,4382216,4382453
4,4383348,4383520
5,4384802,4384978
6,4385061,4385194
7,4385276,4385394
8,4386726,4389598

>TFG,chr3:100428205-100467810
1,100428205,100428275
2,100432487,100432713
3,100438819,100438902
4,100447556,100447702
5,100451352,100451516
6,100455420,100455548
7,100463677,100463775
8,100466993,100467786

>SET,chr9:131445703-131458679
1,131445703,131445725
2,131446059,131446270

>ETV4,chr17:41605212-41656988
1,41623553,41623800
2,41622926,41623036
3,41622642,41622735
4,41622343,41622390
5,41613794,41613847
6,41611227,41611353
7,41610555,41610716
8,41610042,41610307
9,41607475,41607549
10,41607252,41607320
11,41606872,41607044
12,41606503,41606604
13,41605212,41606111

>COL1A1,chr17:48260650-48278993
1,48278772,48278993
2,48277114,48277308
3,48276917,48276951
4,48276779,48276814
5,48276587,48276688
6,48275794,48275865
7,48275522,48275566
8,48275310,48275363
9,48275093,48275146
10,48274541,48274594
11,48274371,48274424
12,48273978,48274031
13,48273845,48273889
14,48273675,48273728
15,48273516,48273560
16,48273284,48273337
17,48272928,48273026
18,48272795,48272839
19,48272593,48272691
20,48272408,48272461
21,48272082,48272189
22,48271934,48271987
23,48271710,48271808
24,48271491,48271544
25,48271304,48271402
26,48270355,48270408
27,48270158,48270211
28,48270001,48270054
29,48269836,48269889
30,48269341,48269385
31,48269149,48269247
32,48268744,48268851
33,48268178,48268285
34,48267904,48267957
35,48267688,48267741
36,48267362,48267469
37,48267220,48267273
38,48267040,48267093
39,48266738,48266899
40,48266529,48266636
41,48266264,48266371
42,48266103,48266156
43,48265891,48265998
44,48265457,48265510
45,48265237,48265344
46,48264845,48264898
47,48264376,48264483
48,48264001,48264283
49,48263678,48263868
50,48263139,48263381
51,48260650,48263009

>PDGFB,chr22:39619364-39640756
1,39639906,39640756
2,39631783,39631879
3,39629440,39629529
4,39627627,39627832
5,39626089,39626233
6,39621700,39621852
7,39619364,39621318

>MLLT3,chr9:20341663-20622542
1,20622244,20622542
2,20620653,20620833
3,20456702,20456784
4,20448121,20448264
5,20413719,20414423
6,20365667,20365742
7,20363474,20363603
8,20360740,20360839
9,20354806,20354877
10,20353523,20353594
11,20341663,20346572

>TPM3_ENST00000368530,chr1:154127784-154167124
1,154164378,154164687
2,154163662,154163787
3,154148591,154148724
4,154145560,154145677
5,154145384,154145454
6,154143889,154143964
7,154143125,154143187
8,154142876,154142945
9,154141781,154141859
10,154139941,154140416

>ATF1,chr12:51157493-51214905
1,51157493,51157524
2,51173923,51174021
3,51189692,51189792
4,51203239,51203372
5,51207793,51207975

>CREB3L2,chr7:137559725-137686813
1,137686350,137686803
2,137612896,137613112
3,137600583,137600758
4,137597737,137597824
5,137592998,137593182
6,137590448,137590594
7,137588705,137588763
8,137586100,137586168
9,137570149,137570248
10,137569741,137569867
11,137567158,137567374
12,137559725,137565297

>FGFR3,chr4:1795034-1810599
1,1795034,1795192
2,1795560,1795770
3,1800981,1801250
4,1801474,1801539
5,1803094,1803263
6,1803347,1803470
7,1803562,1803752
8,1805419,1805563
9,1806057,1806247
10,1806548,1806696
11,1807082,1807203
12,1807286,1807396
13,1807477,1807667
14,1807778,1807900
15,1808273,1808410
16,1808556,1808661
17,1808843,1810592

>TACC3,chr4:1723227-1746898
1,1723227,1723370
2,1725148,1725310
3,1725455,1725597
4,1732614,1732689
5,1732899,1733028
6,1737000,1737052
7,1737458,1737474

>CRTC3,chr15:91073157-91188577
1,91073157,91073435
2,91083271,91083369
3,91136868,91136987
4,91145556,91145617
5,91147617,91147679
6,91150610,91150710
7,91157685,91157720
8,91161115,91161200
9,91162973,91163022
10,91169008,91169225
11,91172466,91172764
12,91181678,91181878
13,91181967,91182047
14,91184329,91184431
15,91185167,91188577

>HMGA2,chr12:66217911-66360075
1,66217911,66219161
2,66221781,66221867
3,66232299,66232349
4,66345163,66345195
5,66357025,66360075

>LPP,chr3:187871072-188608460
1,187871072,187871151
2,188059451,188059507
3,188123900,188124101
4,188202380,188202492
5,188242453,188242575
6,188326949,188327632
7,188426055,188430630

>KLC1,chr14:104028233-104167888
1,104028233,104028321
2,104120901,104121162
3,104123883,104124071

>NAB2,chr12:57482677-57489259
1,57482677,57483137
2,57484908,57485781
3,57486231,57486364
4,57486700,57486751
5,57486846,57486978
6,57487190,57487381
7,57488395,57489259

>STAT6,chr12:57489191-57525922
1,57504912,57505216
2,57501946,57502082
3,57501388,57501526
4,57501014,57501097
5,57500476,57500614
6,57500311,57500363
7,57499974,57500122
8,57499251,57499382
9,57498934,57499122
10,57498509,57498596
11,57498247,57498369
12,57496612,57496704
13,57496073,57496279
14,57493779,57493873
15,57493550,57493686
16,57493077,57493223
17,57492798,57492861
18,57492575,57492685
19,57492288,57492380
20,57490851,57490916
21,57490633,57490761
22,57489191,57490544

>AKAP9_ENST00000356239,chr7:91570181-91739987
1,91570181,91570461
2,91603025,91603282
3,91609603,91609647
4,91621472,91621525
5,91622199,91622369
6,91623935,91624090
7,91624917,91625114
8,91630162,91632549
9,91641743,91641956
10,91643563,91643642
11,91645443,91645581
12,91646331,91646416
13,91651552,91651666
14,91652128,91652323
15,91659209,91659305
16,91660826,91660918
17,91667733,91668086
18,91669988,91670212
19,91671360,91671500
20,91671982,91672085
21,91674322,91674527
22,91682040,91682272
23,91690574,91690736
24,91691588,91691800
25,91694545,91694777
26,91695741,91695860
27,91699344,91699520
28,91700219,91700323
29,91706169,91706321
30,91707010,91707189
31,91708393,91709466
32,91711836,91711976
33,91712484,91712969
34,91713954,91714017
35,91714133,91714254
36,91714809,91715000
37,91715542,91715730
38,91718699,91718843
39,91722411,91722630
40,91724337,91724487
41,91726003,91726671
42,91726900,91727108
43,91727423,91727528
44,91729001,91729183
45,91730170,91730370
46,91731908,91732140
47,91734992,91735077
48,91736607,91736736
49,91737808,91737947
50,91739436,91739987

>GOLGA5,chr14:93260576-93306308
1,93260576,93260801
2,93263753,93264326
3,93273081,93273308
4,93275645,93275864
5,93276599,93276722
6,93277896,93278099
7,93282596,93282766
8,93286053,93286181
9,93290891,93290989
10,93299467,93299692
11,93301904,93302009
12,93303731,93303794
13,93305711,93306308

>WT1,chr11:32409321-32457176
1,32452076,32452359
2,32450043,32450165
3,32449502,32449604
4,32439123,32439200
5,32438036,32438086
6,32421494,32421590
7,32417803,32417953
8,32414212,32414301
9,32413527,32413610
10,32409321,32410725

>SLC45A3,chr1:205626979-205649587
1,205631436,205631796
2,205630989,205631254
3,205626979,205628799

>SSX4,chrX:48242863-48252785
1,48242863,48243005
2,48243475,48243563
3,48244003,48244117
4,48244794,48244889
5,48246753,48246802
6,48248788,48248923
7,48251311,48251415
8,48252198,48252785

>GOPC,chr6:117639374-117923691
1,117894630,117894734
2,117892023,117892118
3,117890735,117890899
4,117888017,117888197
5,117642380,117642557
6,117641031,117641193
7,117639374,117639415

>CREB3L1,chr11:46299212-46342972
1,46299212,46299764
2,46321486,46321714
3,46329367,46329551
4,46331540,46331618
5,46332583,46332740
6,46333876,46334025
7,46334163,46334221
8,46334402,46334470
9,46337837,46337936
10,46338912,46339038
11,46341815,46342079
12,46342260,46342972

>ASPSCR1,chr17:79934683-79975282
1,79934683,79934855
2,79937060,79937115
3,79941430,79941544
4,79943383,79943483
5,79952697,79952754
6,79953868,79953941
7,79954296,79954719

>TFE3,chrX:48886242-48901012
1,48900637,48900936
2,48897982,48898095
3,48896632,48896870
4,48895722,48895967
5,48895535,48895639
6,48891649,48891766
7,48891241,48891297
8,48890980,48891055
9,48888912,48889059
10,48886242,48888112

>HNRNPA2B1,chr7:26229547-26241149
1,26230613,26231298
2,26229547,26230080

>ERC1,chr12:1099675-1605099
1,1099675,1099795
2,1136914,1137338

>JAK2,chr9:4985033-5128183
1,4985033,4985173
2,4985940,4986022
3,5021963,5022065

>DNAJB1,chr19:14625582-14640582
1,14628951,14629232
2,14627278,14627858
3,14625582,14626982

>PRKACA,chr19:14202500-14228896
1,14228314,14228556
2,14218160,14218221
3,14217572,14217700
4,14213628,14213726
5,14211638,14211720
6,14208576,14208702
7,14208391,14208486
8,14208173,14208295
9,14204440,14204604
10,14202500,14204049

>NR4A3,chr9:102584137-102629173
1,102584137,102584689
2,102587941,102588114
3,102590323,102591275
4,102594971,102595100
5,102595564,102596341

>BRD4_ENST00000263377,chr19:15347647-15443356
1,15391075,15391262
2,15383626,15383944
3,15379716,15379853
4,15378227,15378362
5,15376165,15376454
6,15375215,15375577
7,15374231,15374359
8,15367775,15367984
9,15366875,15367074
10,15366108,15366403
11,15364963,15365073
12,15355521,15355573
13,15355042,15355411
14,15353711,15354298
15,15350721,15350833
16,15350470,15350632
17,15350203,15350333
18,15349870,15350075
19,15349554,15349791
20,15347647,15349256

>NUTM1,chr15:34635516-34649938
1,34635516,34635903
2,34638143,34638236
3,34640170,34640878
4,34642905,34643033
5,34645937,34646073
6,34646647,34646933
7,34647222,34647338
8,34647689,34649929

>CLTC,chr17:57697219-57773671
1,57697219,57697534
2,57721637,57721844
3,57724759,57725027
4,57725601,57725762
5,57728564,57728677
6,57733215,57733388
7,57737752,57737949
8,57738804,57739004
9,57741203,57741355
10,57742148,57742270
11,57743464,57743601
12,57743841,57744005
13,57744158,57744338
14,57746138,57746301
15,57751008,57751133
16,57752062,57752204
17,57754315,57754549
18,57756758,57756880
19,57758273,57758418
20,57758656,57758839
21,57759008,57759200
22,57759632,57759789
23,57759990,57760154
24,57760268,57760375
25,57760456,57760623
26,57760748,57760897
27,57760986,57761117
28,57761236,57761346
29,57762417,57762587
30,57762948,57763169
31,57767997,57768187

>NFIB_ENST00000397581,chr9:14081842-14398982
1,14313481,14314518
2,14306988,14307519
3,14179726,14179779
4,14155824,14155892
5,14150144,14150264
6,14146688,14146806
7,14125631,14125765
8,14120439,14120623
9,14116180,14116345
10,14112998,14113080
11,14102421,14102509
12,14087599,14088325

>JAZF1,chr7:27870192-28220362
1,28031528,28031675
2,27934839,27935035
3,27880317,27880486
4,27870192,27872595

>SUZ12,chr17:30264037-30328064
1,30264037,30264539
2,30267305,30267351
3,30267441,30267505
4,30274636,30274704
5,30293166,30293215
6,30300165,30300250
7,30302501,30302732
8,30303540,30303633
9,30310018,30310123
10,30315339,30315516
11,30320261,30320352
12,30320884,30321027
13,30321583,30321740
14,30322583,30322781
15,30323817,30323896
16,30325677,30328064

>ARID1A,chr1:27022524-27108595
1,27022524,27024031
2,27056142,27056354
3,27057643,27058095
4,27059167,27059283
5,27087347,27087587
6,27087875,27087964
7,27088643,27088810
8,27089464,27089776
9,27092712,27092857
10,27092948,27093057
11,27094281,27094490
12,27097610,27097817
13,27098991,27099123
14,27099303,27099478
15,27099837,27099987
16,27100071,27100208
17,27100293,27100389
18,27100820,27101711
19,27102068,27102198
20,27105514,27108595

>MAST2_ENST00000361297,chr1:46252659-46501796
1,46269285,46269744
2,46290105,46290252
3,46295111,46295253
4,46348036,46348067
5,46425058,46425149
6,46463396,46463471
7,46468477,46468555
8,46471913,46472067
9,46473968,46474043
10,46476402,46476611
11,46485268,46485369
12,46487622,46487754
13,46488582,46488643
14,46488905,46488990
15,46489444,46489652
16,46491349,46491487
17,46493403,46493535
18,46494440,46494605
19,46495138,46495239
20,46495503,46495625
21,46495801,46495910
22,46496279,46496433
23,46496679,46496962
24,46497063,46497257
25,46497850,46498076
26,46498268,46498390
27,46499474,46499610
28,46499745,46499938
29,46500210,46501796

>GPBP1L1,chr1:46092976-46153785
1,46099768,46101396
2,46099161,46099319
3,46096154,46096278
4,46095248,46095350
5,46092976,46094080

>NFIX_ENST00000360105,chr19:13106422-13209610
1,13135394,13135494
2,13135835,13136366
3,13183861,13183923
4,13184236,13184310
5,13184720,13184840
6,13186349,13186485
7,13192494,13192669
8,13201113,13201204
9,13205449,13209610

>MAST1_ENST00000251472,chr19:12944765-12985765
1,12949348,12949469
2,12951260,12951348
3,12951805,12951880
4,12954343,12954421
5,12958104,12958264
6,12958426,12958501
7,12958662,12958871
8,12962748,12962849
9,12962929,12963061
10,12963142,12963209
11,12969176,12969255
12,12969345,12969553
13,12975623,12975761
