>EML4_ENST00000318522.9,chr2:42169350-42332548
3,59832525,59832653
4,59814652,59814755
5,59812635,59812795
6,59806922,59807078
7,59804420,59804520
8,59794473,59794597
9,59788763,59793111

>RET_ENST00000355710.7,chr10:43077027-43130351
1,43077027,43077331
2,43100459,43100722
3,43102342,43102629
4,43104952,43105193
5,43106376,43106571
6,43109031,43109230
7,43111207,43111465
8,43112099,43112224
9,43112853,43112963
10,43113556,43113675
11,43114480,43114736
12,43116584,43116731
13,43118373,43118480
14,43119531,43119745
15,43120081,43120203
16,43121946,43122016
17,43123671,43123808
18,43124883,43124982
19,43126575,43126722
20,43128112,43130351

>NCOA4_ENST00000578454.5,chr10:46005088-46030714
1,46030526,46030607
2,46027432,46027528
3,46016540,46016694
4,46015126,46015266
5,46014854,46014942
6,46014444,46014552
7,46013550,46013639
8,46012883,46013026
9,46010223,46011206
10,46009411,46009551
11,46009124,46009212
12,46006412,46006597

>PRKAR1A_ENST00000589228.5,chr17:68511780-68551319
1,68512427,68512548
2,68515394,68515576
3,68522756,68522926
4,68523725,68523816
5,68524016,68524077
6,68524912,68524958
7,68525754,68525912
8,68527840,68527900
9,68528870,68528991
10,68529920,68530001
11,68530277,68533431

>BCR_ENST00000305877.12,chr22:23179704-23318037
1,23180210,23182239
2,23253799,23253980
3,23260950,23261054
4,23261355,23261540
5,23268408,23268515
6,23271532,23271592
7,23273081,23273133
8,23273634,23273774
9,23283977,23284098
10,23285033,23285201
11,23287159,23287278
12,23288097,23288172
13,23289517,23289621
14,23290339,23290413
15,23292541,23292638
16,23295024,23295155
17,23309424,23309483
18,23310324,23310433
19,23311697,23311836
20,23312887,23313021
21,23313968,23314073
22,23314552,23314714
23,23315433,23318037

>ABL1_ENST00000318560.5,chr9:130713946-130887675
1,130835066,130835525
2,130854064,130854237
3,130854801,130855096
4,130862763,130863035
5,130872129,130872213
6,130872860,130873037
7,130874868,130875052
8,130878415,130878567
9,130880068,130880157
10,130880500,130880664
11,130883969,130887675

>ETV6_ENST00000396373.8,chr12:11649854-11895402
1,11649854,11650160
2,11752450,11752579
3,11839140,11839304
4,11853427,11853561
5,11869424,11869969
6,11884445,11884587
7,11885926,11886026
8,11890941,11895402

>NTRK3_ENST00000394480.6,chr15:87859751-88256768
1,88256644,88256747
2,88256284,88256486
3,88255906,88256168
4,88184225,88184299
5,88183418,88183489
6,88147335,88147403
7,88137404,88137561
8,88136467,88136609
9,88135899,88136040
10,88135101,88135397
11,88128711,88128734
12,88127162,88127226
13,88126271,88126373
14,88032857,88033045
15,87940623,87940753
16,87933012,87933184
17,87929191,87929434
18,87880270,87880428
19,87859751,87877120

>TPM3_ENST00000368530.6,chr1:154155304-154194648
1,154191902,154192211
2,154191186,154191311
3,154176115,154176248
4,154173084,154173201
5,154172908,154172978
6,154171413,154171488
7,154170649,154170711
8,154170400,154170469
9,154169305,154169383
10,154167465,154167940

>NTRK1_ENST00000368196.7,chr1:156815640-156881850
1,156860815,156861146
2,156864354,156864428
3,156864728,156864799
4,156866910,156866978
5,156868104,156868249
6,156868505,156868647
7,156871623,156871755
8,156873633,156873959
9,156874571,156874626
10,156874906,156875008
11,156875520,156875666
12,156876080,156876210
13,156876400,156876572
14,156879122,156879362
15,156879999,156880157
16,156881457,156881850

>LMNA_ENST00000368300.8,chr1:156082573-156140089
1,156114707,156115274
2,156130617,156130773
3,156134403,156134528
4,156134805,156134975
5,156135187,156135312
6,156135901,156136121
7,156136214,156136436
8,156136921,156137028
9,156137113,156137232
10,156137654,156137743
11,156138488,156138757
12,156139080,156140089

>TPR_ENST00000367478.8,chr1:186311652-186375693
1,186374878,186375325
2,186373359,186373463
3,186370970,186371043
4,186367886,186367982
5,186363342,186363445
6,186362837,186363001
7,186362288,186362380
8,186361789,186361869
9,186361622,186361709
10,186360765,186360905
11,186360273,186360364
12,186359799,186359996
13,186358543,186358650
14,186357397,186357623
15,186356286,186356449
16,186355635,186355768
17,186355410,186355558
18,186353688,186353850
19,186351976,186352110
20,186351330,186351470
21,186350223,186350388
22,186347292,186347458
23,186346135,186346287
24,186345580,186345696
25,186344375,186344578
26,186343906,186344090
27,186343326,186343473
28,186341252,186341389
29,186341028,186341159
30,186339642,186339772
31,186338033,186338243
32,186337013,186337156
33,186336496,186336694
34,186335338,186335543
35,186335068,186335129
36,186334325,186334533
37,186333122,186333394
38,186332195,186332343
39,186331498,186331581
40,186327460,186327660
41,186326104,186326235
42,186325764,186325854
43,186323686,186323870
44,186322518,186322586
45,186322318,186322412
46,186320312,186320418
47,186318733,186318828
48,186318447,186318603
49,186317482,186317600
50,186314629,186314724
51,186311652,186314026

